,BTC-USD,cash,value
2016-03-15,0.406754879786,0.593245120214,6722.4500146
2016-03-16,0.409684708734,0.590315291266,6727.55443268
2016-03-17,0.413605062775,0.586394937225,6742.42967722
2016-03-18,0.359577515225,0.640422484775,6675.09026176
2016-03-21,0.389478821203,0.610521178797,6692.06079765
2016-03-22,0.398442543753,0.601557456247,6724.3138903
2016-03-23,0.399419681212,0.600580318788,6729.26352881
2016-03-24,0.3941042751,0.6058957249,6714.77048058
2016-03-25,0.391488741261,0.608511258739,6720.91711999
2016-03-28,0.388591609025,0.611408390975,6716.38988654
2016-03-29,0.37804716632,0.62195283368,6700.16816623
2016-03-30,0.384830610043,0.615169389957,6719.87727305
2016-03-31,0.38216264945,0.61783735055,6719.71720844
2016-04-01,0.402785367698,0.597214632302,6737.19412081
2016-04-04,0.424829435112,0.575170564888,6760.00779494
2016-04-05,0.414287781116,0.585712218884,6754.36023219
2016-04-06,0.406490053674,0.593509946326,6746.82397478
2016-04-07,0.392335107698,0.607664892302,6730.65923348
2016-04-08,0.396625225057,0.603374774943,6732.88011183
2016-04-11,0.443632649979,0.556367350021,6775.0329266
2016-04-12,0.436904964779,0.563095035221,6765.96484194
2016-04-13,0.438540135025,0.561459864975,6769.78629406
2016-04-14,0.491978539371,0.508021460629,6801.65680449
2016-04-15,0.573046772584,0.426953227416,6811.33724932
2016-04-18,0.597042169031,0.402957830969,6855.24913395
2016-04-19,0.626746681307,0.373253318693,6913.61106143
2016-04-20,0.682385057424,0.317614942576,6993.24507816
2016-04-21,0.650129262207,0.349870737793,6949.70346439
2016-04-22,0.690213680259,0.309786319741,6997.8850916
2016-04-25,0.781666666667,0.218333333333,7167.55417828
2016-04-26,0.603055555556,0.396944444444,6936.78334857
2016-04-27,0.605960658088,0.394039341912,6950.51069384
2016-04-28,0.667813038431,0.332186961569,7010.7409432
2016-04-29,0.604038728877,0.395961271123,6943.51892716
2016-05-02,0.619050413199,0.380949586801,6959.59376794
2016-05-03,0.585834739627,0.414165260373,6916.39370142
2016-05-04,0.596298042024,0.403701957976,6936.98892642
2016-05-05,0.691916169345,0.308083830655,7041.72592637
2016-05-06,0.678190084693,0.321809915307,7029.87747013
2016-05-09,0.601888596456,0.398111403544,6934.23412105
2016-05-10,0.619701265168,0.380298734832,6963.17453653
2016-05-11,0.633372433148,0.366627566852,6981.40272695
2016-05-12,0.635116556956,0.364883443044,6990.9213474
2016-05-13,0.653687997934,0.346312002066,7000.71103576
2016-05-16,0.62756032923,0.37243967077,6968.38441199
2016-05-17,0.628347437482,0.371652562518,6977.73924257
2016-05-18,0.530200826613,0.469799173387,6864.86878924
2016-05-19,0.523324260251,0.476675739749,6860.25611259
2016-05-20,0.525492244688,0.474507755312,6872.66274464
2016-05-23,0.54640973838,0.45359026162,6892.50148631
2016-05-24,0.578055555556,0.421944444444,6923.07605932
2016-05-25,0.608221976576,0.391778023424,6954.00382286
2016-05-26,0.773333333333,0.226666666667,7145.46578035
2016-05-27,0.851732915105,0.148267084895,7729.40352987
2016-05-30,0.851238069408,0.148761930592,7788.40334966
2016-05-31,0.851473836129,0.148526163871,7894.66950467
2016-06-01,0.849740673943,0.150259326057,7890.89008391
2016-06-02,0.85834911259,0.14165088741,8264.51123904
2016-06-03,0.860318885579,0.139681114421,8326.04749491
2016-06-06,0.860545451429,0.139454548571,8371.5005267
2016-06-07,0.862914190912,0.137085809088,8433.18257595
2016-06-08,0.823628179031,0.176371820969,8359.5821308
2016-06-09,0.830880929566,0.169119070434,8397.81272238
2016-06-10,0.858713648176,0.141286351824,8562.9375157
2016-06-13,0.869367834318,0.130632165682,9725.45808566
2016-06-14,0.86753768153,0.13246231847,9794.88178818
2016-06-15,0.874712317724,0.125287682276,10661.321129
2016-06-16,0.796666666667,0.203333333333,10447.6463085
2016-06-17,0.831228014209,0.168771985791,10557.4012331
2016-06-20,0.411388888889,0.588611111111,9543.13422011
2016-06-21,0.193333333333,0.806666666667,9087.62828948
2016-06-22,0.258784891481,0.741215108519,9176.6669927
2016-06-23,0.354050178589,0.645949821411,9313.01520037
2016-06-24,0.371486172197,0.628513827803,9346.01274183
2016-06-27,0.323693674517,0.676306325483,9247.76044084
2016-06-28,0.29919020052,0.70080979948,9208.60079668
